m;Seccion_tub;Peso (kg/m);H (mm);B (mm);tnom (mm);tdis (mm);ri (mm);ri2 (mm);besb (mm);hesb (mm);besb/tdis;hesb/tdis;bint (mm);hint (mm);Ag (mm2);Ix (mm4);rx (mm);Sx (mm3);Iy (mm4);ry (mm);Sy (mm3);y' (mm);Zx (mm3);x' (mm);Zy (mm3);Rc (mm);Ap (mm2);p (mm);Js (mm4)
11;TUB.100X50X3;6.86;100;50;3;2.79;1.4;2.79;41.63;91.63;14.92;32.84;44.42;94.42;785.82;1001670.24;35.7;20033.4;340038.67;20.8;13601.55;31.82;25005.63;19.64;15433.48;4.19;4574.25;281.66;829060.6
12;TUB.100X50X4;9;100;50;4;3.72;1.86;3.72;38.84;88.84;10.44;23.88;42.56;92.56;1025.01;1267606.55;35.17;25352.13;426036.7;20.39;17041.47;31.3;32086.41;19.24;19719.26;5.58;4429.11;275.54;1059378.29
13;TUB.120X120X4;14.25;120;120;4;3.72;1.86;3.72;108.84;108.84;29.26;29.26;112.56;112.56;1694.61;3777835.57;47.22;62963.93;3777835.57;47.22;62963.93;43.29;73359.82;43.29;73359.82;5.58;13494.31;455.54;5948091.73
14;TUB.120X60X2;5.59;120;60;2;1.86;0.93;1.86;54.42;114.42;29.26;61.52;56.28;116.28;646.85;1234560.5;43.69;20576.01;424797.56;25.63;14159.92;39;25227.55;24.21;15658.4;2.79;6861.98;347.77;1007347.5
15;TUB.120X60X2.5;6.94;120;60;2.5;2.33;1.16;2.33;53.03;113.03;22.81;48.61;55.35;115.35;801.46;1511338.04;43.43;25188.97;517834.39;25.42;17261.15;38.75;31054.29;24.01;19241.25;3.49;6776.47;344.71;1238888.42
16;TUB.120X60X3;8.28;120;60;3;2.79;1.4;2.79;51.63;111.63;18.51;40.01;54.42;114.42;953.22;1775768.43;43.16;29596.14;605872.53;25.21;20195.75;38.49;36691.96;23.81;22694.38;4.19;6690.55;341.66;1462176.7
17;TUB.135X135X4;16.69;135;135;4;3.72;1.86;3.72;123.84;123.84;33.29;33.29;127.56;127.56;1917.81;5456616.69;53.34;80838.77;5456616.69;53.34;80838.77;48.92;93813.32;48.92;93813.32;5.58;17207.71;515.54;8546466.78
18;TUB.135X135X6;24.58;135;135;6;5.58;2.79;5.58;118.26;118.26;21.19;21.19;123.84;123.84;2808.47;7725082.23;52.45;114445.66;7725082.23;52.45;114445.66;48.05;134952.18;48.05;134952.18;8.37;16689.4;503.31;12352071.68
19;TUB.150X100X3;11.3;150;100;3;2.79;1.4;2.79;91.63;141.63;32.84;50.76;94.42;144.42;1343.82;4312930.92;56.65;57505.75;2320277.08;41.55;46405.54;51.1;68674.37;38.79;52127.22;4.19;14295.25;481.66;4734907.5
20;TUB.150X100X4;15.44;150;100;4;3.72;1.86;3.72;88.84;138.84;23.88;37.32;92.56;142.56;1769.01;5580486.13;56.17;74406.48;2992654.47;41.13;59853.09;50.63;89569.73;38.38;67902.57;5.58;14057.11;475.54;6183122.46
21;TUB.150X100X6;22.7;150;100;6;5.58;2.79;5.58;83.26;133.26;14.92;23.88;88.84;138.84;2585.27;7872767.33;55.18;104970.23;4195509.31;40.28;83910.19;49.68;128438.24;37.57;97124.64;8.37;13576;463.31;8879037.06
22;TUB.150X150X4;18.58;150;150;4;3.72;1.86;3.72;138.84;138.84;37.32;37.32;142.56;142.56;2141.01;7570914.09;59.47;100945.52;7570914.09;59.47;100945.52;54.54;116777.81;54.54;116777.81;5.58;21371.11;575.54;11808139.49
23;TUB.150X150X6;27.41;150;150;6;5.58;2.79;5.58;133.26;133.26;23.88;23.88;138.84;138.84;3143.27;10783785.7;58.57;143783.81;10783785.7;58.57;143783.81;53.68;168731.42;53.68;168731.42;8.37;20797;563.31;17137515.94
24;TUB.150X150X9;38.21;150;150;9;8.37;4.19;8.37;124.89;124.89;14.92;14.92;133.26;133.26;4561.36;14936399.72;57.22;199152;14936399.72;57.22;199152;52.37;238887.42;52.37;238887.42;12.56;19923.75;544.97;24387012.44
25;TUB.150X50X3;9.22;150;50;3;2.79;1.4;2.79;41.63;141.63;14.92;50.76;44.42;144.42;1064.82;2801212.75;51.29;37349.5;495677.34;21.58;19827.09;45.21;48138.57;20.68;22019.27;4.19;6934.75;381.66;1406224.56
26;TUB.150X50X4;12.14;150;50;4;3.72;1.86;3.72;38.84;138.84;10.44;37.32;42.56;142.56;1397.01;3590058.17;50.69;47867.44;625656.66;21.16;25026.27;44.64;62361.65;20.28;28327.34;5.58;6743.11;375.54;1801636.22
