Referencia;Peso(Kg/m);d(mm);bf(mm);tw(mm);tf(mm);r(mm);dint(mm);T(mm);A(cm2);Apint(m2/m); Amasa(m2/t);Ixx(cm4);Sx(cm3);Zx(cm3);rx(cm);Av(cm2);Iyy(cm4);Sy(cm3);Zy(cm3);ry(cm);Ss(cm);J(cm4);Cw(cm6)
W30x148;220;779;266;16.5;30;20;719.1;679.1;281;2.554;11.55;279390;7173;8231;31.49;139;9443;710;1114;5.7;9.9;620.5;13190000
W30x132;196;770;268;15.6;25.4;20;719.1;679.1;251;2.546;12.88;241470;6271;7207;30.96;129.8;8177;610.2;960.1;5.6;8.9;416.5;11290000
W30x124;185;766;267;14.9;23.6;20;719.1;679.1;235;2.535;13.65;224140;5852;6724;30.78;123.5;7511;562.6;885.1;5.6;8.5;343.3;10310000
W30x116;173;762;267;14.4;21.6;20;719.1;679.1;221;2.528;14.48;207010;5433;6251;30.51;118.7;6875;515;811.1;5.5;8.1;278.7;9390000
W30x108;161;758;266;13.8;19.3;20;719.1;679.1;205;2.518;15.61;187250;4940;5699;30.19;113.1;6074;456.7;720.9;5.4;7.5;215.1;8258000
W30x99;147;753;265;13.2;17;20;719.1;679.1;188;2.505;16.93;167250;4442;5143;29.79;107.4;5291;399.3;632;5.2;7;163.2;7140000
W30x90;134;750;264;11.9;15.5;20;719.1;679.1;170;2.497;18.61;151580;4042;4665;29.78;97.04;4767;361.1;569.1;5.2;6.6;123.7;6410000
W27x539;802;826;387;50;89.9;20;645.9;605.9;1022;3.065;3.819;1063170;25740;30930;32.24;407.4;87540;4524;7146;9.2;25.3;20610;117630000
W27x368;548;772;372;35.1;63;20;645.9;605.9;698;2.927;5.335;672930;17430;20380;31.02;277.5;54300;2919;4565;8.8;18.4;7065;67920000
W27x336;500;762;369;32;57.9;20;645.9;605.9;637;2.901;5.796;606230;15910;18490;30.83;251.9;48670;2638;4114;8.7;17.1;5459;60090000
W27x307;457;752;367;29.5;53.1;20;645.9;605.9;582;2.878;6.281;546550;14530;16800;30.59;230.8;43890;2392;3723;8.6;15.9;4228;53420000
W27x281;419;744;364;26.9;49;20;645.9;605.9;533;2.855;6.811;495390;13310;15310;30.46;210;39500;2170;3369;8.6;14.8;3299;47560000
W27x258;384;736;362;24.9;45;20;645.9;605.9;489;2.835;7.369;448880;12190;13960;30.26;193.5;35670;1970;3054;8.5;13.8;2569;42470000
W27x235;350;728;360;23.1;40.9;20;645.9;605.9;446;2.815;8.019;403400;11080;12630;30.03;178.5;31870;1771;2742;8.4;12.8;1953;37530000
W27x217;323;722;359;21.1;38.1;20;645.9;605.9;411;2.803;8.64;371040;10270;11660;29.96;163;29430;1640;2532;8.4;12;1567;34350000
W27x194;289;714;356;19;34;20;645.9;605.9;368;2.779;9.613;326240;9138;10320;29.76;146.2;25610;1438;2217;8.3;11;1120;29550000
W27x178;265;706;358;18.4;30.2;20;645.9;605.9;337;2.772;10.43;291790;8266;9333;29.36;139.9;23130;1292;1994;8.2;10.2;833.7;26360000
W27x161;240;701;356;16.8;27.4;20;645.9;605.9;306;2.758;11.44;262680;7494;8433;29.24;127.6;20630;1159;1786;8.1;9.5;627.2;23370000
W27x146;217;695;355;15.4;24.8;20;645.9;605.9;277;2.744;12.53;235790;6785;7613;29.07;116.6;18510;1043;1605;8.1;8.8;471.5;20760000
W27x129;192;702;254;15.5;27.9;20;645.9;605.9;244;2.354;12.22;199440;5682;6504;28.51;119.1;7645;602;943;5.5;9.4;479.7;8656000
W27x114;170;693;256;14.5;23.6;20;645.9;605.9;216;2.346;13.71;171440;4947;5665;28.04;109.9;6620;517.2;811.2;5.5;8.5;318.9;7392000
W27x102;152;688;254;13.1;21.1;20;645.9;605.9;194;2.331;15.21;152100;4421;5049;27.91;99.24;5779;455;712.1;5.4;7.8;231.9;6407000
W27x94;140;684;254;12.4;18.9;20;645.9;605.9;179;2.324;16.48;137570;4022;4596;27.67;93.47;5176;407.6;638.1;5.3;7.3;177;5708000
W27x84;125;678;253;11.7;16.3;20;645.9;605.9;160;2.31;18.22;119980;3539;4056;27.26;87.37;4412;348.7;547.3;5.2;6.7;125.8;4815000
W24x370;551;711;347;38.6;69.1;20;573;533;702;2.698;4.881;559070;15720;18650;28.17;278.8;48410;2790;4381;8.2;20;8577;49560000
W24x335;498;699;343;35.1;63;20;573;533;635;2.665;5.331;496220;14190;16720;27.91;251.9;42590;2483;3889;8.1;18.4;6477;42840000
W24x306;455;689;340;32;57.9;20;573;533;579;2.639;5.79;446080;12940;15140;27.71;228.5;38090;2241;3500;8;17.1;5004;37760000
W24x279;415;679;338;29.5;53.1;20;573;533;529;2.616;6.271;401320;11820;13750;27.48;209.3;34300;2030;3164;8;15.9;3876;33460000
W24x250;372;669;335;26.4;48;20;573;533;474;2.59;6.926;354790;10600;12240;27.29;186.6;30170;1801;2799;7.9;14.5;2850;28990000
W24x229;341;661;333;24.4;43.9;20;573;533;434;2.57;7.514;319840;9677;11120;27.09;171.6;27090;1627;2525;7.8;13.5;2195;25720000
W24x207;307;653;330;22.1;39.9;20;573;533;391;2.547;8.246;285230;8736;9984;26.92;154.9;23950;1452;2247;7.8;12.5;1645;22450000
W24x192;285;647;329;20.6;37.1;20;573;533;361;2.534;8.83;262280;8107;9230;26.78;143.9;22060;1341;2073;7.7;11.8;1328;20470000
W24x176;262;641;327;19;34;20;573;533;333;2.517;9.58;237550;7411;8405;26.64;132.4;19850;1214;1874;7.7;11;1027;18250000
W24x162;241;635;329;17.9;31;20;573;533;308;2.515;10.33;216990;6834;7726;26.45;123.9;18430;1120;1728;7.7;10.3;802.2;16780000
W24x146;217;628;328;16.5;27.7;20;573;533;277;2.5;11.38;192360;6126;6903;26.22;113.6;16310;995;1533;7.6;9.5;586.1;14670000
W24x131;195;622;327;15.4;24.4;20;573;533;248;2.486;12.6;169450;5448;6129;25.96;105.2;14240;871;1342;7.5;8.7;418.3;12690000
W24x117;174;616;325;14;21.6;20;573;533;222;2.469;14.03;148720;4828;5417;25.76;95.29;12370;761.6;1172;7.4;8;297.5;10910000
W24x104;155;611;324;12.7;19;20;573;533;197;2.458;15.7;130550;4273;4783;25.59;86.22;10780;665.7;1024;7.3;7.4;209.5;9436000
W24x103;153;623;229;14;24.9;20;573;533;196;2.099;13.52;126750;4069;4657;25.31;97.13;5001;436.8;684.9;5;8.7;315.8;4456000
W24x94;140;617;230;13.1;22.2;20;573;533;179;2.093;14.76;113580;3681;4207;25.08;90.23;4517;392.7;615.5;5;8;235.5;3981000
W24x84;125;612;229;11.9;19.6;20;573;533;159;2.081;16.42;100150;3272;3731;24.91;81.77;3935;343.6;537.7;4.9;7.4;168.2;3441000
W24x76;113;608;228;11.2;17.3;20;573;533;145;2.071;18;89160;2933;3347;24.66;76.51;3428;300.7;471.1;4.8;6.9;123.9;2981000
W24x68;101;603;228;10.5;14.9;20;573;533;130;2.062;19.96;77970;2586;2957;24.34;71.14;2952;258.9;406.4;4.7;6.3;87.85;2544000
W24x62;92;603;179;10.9;15;13;573;547;117;1.877;20.33;64680;2145;2514;23.45;69.44;1441;161;258.5;3.5;5.6;71.3;1239000
W24x55;82;599;178;10;12.8;13;573;547;105;1.867;22.79;56030;1870;2198;23.17;63.4;1208;135.8;218.2;3.4;5;49.07;1033000
W21x275;409;613;327;31;55.6;25;501.9;451.9;522;2.429;5.898;319240;10410;12210;24.66;64.4;32550;1990;3104;7.8;17.1;4343;25160000
W21x248;369;603;324;27.9;50.5;25;501.9;451.9;470;2.403;6.476;283070;9388;10920;24.47;65.4;28730;1774;2758;7.7;15.8;3246;21840000
W21x223;332;593;322;25.4;45.5;25;501.9;451.9;423;2.38;7.118;250100;8435;9753;24.23;66.4;25400;1577;2449;7.7;14.5;2399;18970000
W21x201;300;585;319;23.1;41.4;25;501.9;451.9;382;2.356;7.785;223120;7628;8767;24.05;67.4;22460;1408;2182;7.6;13.5;1810;16540000
W21x182;272;577;317;21.1;37.6;25;501.9;451.9;346;2.336;8.511;199120;6902;7889;23.86;68.4;20010;1262;1953;7.5;12.5;1367;14520000
W21x166;248;571;315;19;34.5;25;501.9;451.9;315;2.321;9.294;179870;6300;7159;23.77;69.4;18010;1143;1765;7.5;11.7;1052;12930000
W21x147;219;560;318;18.3;29.2;25;501.9;451.9;279;2.312;10.41;153410;5479;6211;23.28;70.4;15680;986.6;1526;7.4;10.5;701.9;11020000
W21x132;196;554;316;16.5;26.3;25;501.9;451.9;250;2.296;11.5;136360;4922;5554;23.15;71.4;13860;877.3;1354;7.3;9.8;518.4;9628000
W21x122;182;551;315;15.2;24.4;25;501.9;451.9;232;2.288;12.38;125920;4570;5137;23.12;72.4;12730;808.6;1246;7.3;9.3;416.4;8811000
W21x111;165;546;313;14;22.2;25;501.9;451.9;211;2.273;13.49;113330;4151;4651;22.98;73.4;11360;726.3;1118;7.2;8.7;319.8;7782000
W21x101;150;543;312;12.7;20.3;25;501.9;451.9;192;2.265;14.73;103220;3801;4243;22.95;74.4;10290;659.8;1014;7.2;8.2;247.4;7018000
W21x93;138;549;214;14.7;23.6;13;501.9;475.9;176;1.902;13.74;86120;3137;3614;22.1;75.4;3869;361.6;568.9;4.6;7.7;250.9;2660000
W21x83;123;544;212;13.1;21.2;13;501.9;475.9;157;1.887;15.3;76120;2798;3209;22.01;76.4;3377;318.6;499.2;4.6;7;180.9;2300000
W21x73;109;539;211;11.6;18.8;13;501.9;475.9;139;1.876;17.19;66770;2477;2828;21.92;77.4;2951;279.7;436.6;4.6;6.4;126.8;1991000
W21x68;101;537;210;10.9;17.4;13;501.9;475.9;129;1.869;18.41;61740;2299;2621;21.85;78.4;2692;256.4;399.7;4.5;6;102;1812000
W21x62;92;533;209;10.2;15.6;13;501.9;475.9;118;1.859;20.09;55280;2074;2365;21.65;79.4;2379;227.6;354.9;4.4;5.6;76.47;1588000
W21x55;82;528;209;9.5;13.3;13;501.9;475.9;105;1.85;22.51;47690;1806;2063;21.34;80.4;2028;194;302.9;4.4;5.1;52.01;1340000
W21x48;72;524;207;9;10.9;13;501.9;475.9;91.8;1.835;25.47;40090;1530;1761;20.9;81.4;1615;156;244.7;4.1;4.6;34.01;1060000
W21x57;85;535;166;10.3;16.5;13;501.9;475.9;108;1.691;19.95;48580;1816;2105;21.21;82.4;1263;152.2;241.8;3.4;5.8;73.98;845400
W21x50;74;529;166;9.7;13.6;13;501.9;475.9;94.8;1.68;22.46;41090;1553;1810;20.76;83.4;1041;125.4;200.3;3.3;5.2;48.2;688500
W21x44;66;525;165;8.9;11.4;13;501.9;475.9;83.9;1.669;25.38;35100;1337;1563;20.47;84.4;857.3;103.9;166.1;3.1;4.6;32.15;562800
W18x311;464;567;305;38.6;69.6;20;428;388;591;2.242;4.815;291000;10260;12390;22.14;85.4;33130;2172;3404;7.4;20.1;7505;20350000
W18x283;421;555;302;35.6;63.5;20;428;388;537;2.212;5.224;257680;9286;11120;21.85;86.4;29320;1942;3038;7.3;18.6;5731;17600000
W18x258;384;545;299;32.5;58.4;20;428;388;490;2.186;5.661;230490;8458;10050;21.64;87.4;26150;1749;2730;7.2;17.2;4438;15400000
W18x234;349;535;296;29.5;53.6;20;428;388;444;2.16;6.156;205350;7676;9059;21.43;88.4;23270;1572;2447;7.2;16;3410;13420000
W18x211;315;525;293;26.9;48.5;20;428;388;401;2.133;6.746;180960;6893;8075;21.19;89.4;20410;1393;2165;7.1;14.7;2536;11540000
W18x192;286;517;291;24.4;44.4;20;428;388;364;2.114;7.351;162180;6274;7296;21.04;90.4;18290;1257;1949;7;13.6;1942;10180000
W18x175;260;509;289;22.6;40.4;20;428;388;331;2.094;7.993;144800;5689;6579;20.83;125.5;16300;1128;1747;6.9;12.6;1478;8922000
W18x158;235;501;287;20.6;36.6;20;428;388;299;2.074;8.758;128450;5127;5892;20.63;113.7;14450;1007;1557;6.9;11.7;1106;7774000
W18x143;213;495;285;18.5;33.5;20;428;388;271;2.058;9.583;115440;4664;5325;20.54;102.2;12950;909;1401;6.8;10.8;843;6881000
W18x130;193;489;283;17;30.5;20;428;388;247;2.041;10.44;103470;4232;4808;20.39;93.58;11540;815.9;1256;6.8;10.1;641.1;6055000
W18x119;177;482;286;16.6;26.9;20;428;388;226;2.04;11.37;92130;3823;4334;20.08;89.74;10510;735;1134;6.7;9.3;472.6;5430000
W18x106;158;476;284;15;23.9;20;428;388;201;2.023;12.66;80750;3393;3828;19.92;80.81;9141;643.7;992;6.7;8.6;337.2;4662000
W18x97;144;472;283;13.6;22.1;20;428;388;184;2.014;13.74;73720;3124;3507;19.87;73.46;8362;590.9;908.6;6.6;8.1;265.6;4224000
W18x86;128;467;282;12.2;19.6;20;428;388;163;2.003;15.35;64810;2776;3102;19.74;65.86;7336;520.3;798.8;6.6;7.4;189.1;3665000
W18x76;113;463;280;10.8;17.3;20;428;388;144;1.99;17.29;56720;2450;2726;19.67;58.49;6337;452.7;694;6.5;6.8;132.3;3143000
W18x71;106;469;194;12.6;20.6;10;428;408;134;1.671;15.8;48800;2081;2386;19.03;61.48;2514;259.2;405.3;4.3;6.5;145.5;1260000
W18x65;97;466;193;11.4;19;10;428;408;123;1.664;17.23;44490;1909;2179;19.01;55.62;2282;236.5;368.4;4.3;6.1;112.8;1137000
W18x60;89;463;192;10.5;17.7;10;428;408;114;1.655;18.53;40930;1768;2011;18.97;51.15;2092;217.9;338.6;4.2;5.7;90.54;1035000
W18x55;82;460;191;9.9;16;10;428;408;105;1.647;20.1;36980;1608;1828;18.82;48.01;1862;194.9;302.9;4.2;5.3;68.97;915700
W18x50;74;457;190;9;14.5;10;428;408;94.8;1.638;22.08;33240;1455;1649;18.75;43.58;1660;174.8;270.9;4.1;4.9;51.59;811400
W18x45;67;454;190;8.5;12.7;10;428;408;85.5;1.633;24.31;29460;1298;1473;18.55;40.91;1454;153;237.5;4.1;4.5;37.05;706800
W18x46;68;459;154;9.1;15.4;10;428;408;87.1;1.498;21.86;29680;1293;1487;18.44;44.31;940.5;122.1;192;3.2;5.1;50.8;461100
W18x40;60;455;153;8;13.3;10;428;408;76.1;1.488;24.99;25480;1120;1284;18.33;38.85;796.1;104;163;3.2;4.6;33.43;387200
W18x35;52;450;152;7.6;10.8;10;428;408;66.5;1.475;28.36;21200;942.2;1087;17.88;36.4;634;83.42;131.4;3;4;20.89;304800
W16x100;149;431;265;14.9;25;10;381;361;190;1.875;12.56;61840;2869;3246;18.03;66.35;7765;586;899.7;6.3;7.6;321.4;3195000
W16x89;132;425;263;13.3;22.2;10;381;361;169;1.858;14.06;53820;2533;2849;17.88;58.87;6739;512.4;785.3;6.3;6.9;225.4;2730000
W16x77;114;420;261;11.6;19.3;10;381;361;146;1.843;16.09;46130;2197;2456;17.78;51.2;5724;438.6;670.8;6.2;6.1;148.4;2295000
W16x67;100;415;260;10;16.9;10;381;361;127;1.832;18.39;39760;1916;2128;17.7;44.05;4954;381;581.3;6.2;5.5;99.26;1961000
W16x57;85;417;181;10.9;18.2;10;381;361;108;1.519;17.87;31520;1512;1724;17.06;47.97;1803;199.2;310;4;5.9;92.42;715100
W16x50;75;413;180;9.7;16;10;381;361;94.8;1.509;20.14;27480;1330;1511;16.97;42.57;1558;173.1;268.7;4;5.3;63.59;612700
W16x45;67;410;179;8.8;14.4;10;381;361;85.8;1.501;22.24;24540;1197;1355;16.89;38.55;1379;154;238.6;4;4.9;46.76;538500
W16x40;60;407;178;7.7;12.8;10;381;361;76.1;1.493;25.09;21570;1060;1194;16.86;33.77;1204;135.3;208.9;3.9;4.5;32.69;467400
W16x36;53;403;177;7.5;10.9;10;381;361;68.4;1.481;27.73;18600;923.1;1045;16.53;32.45;1009;114;176.6;3.8;4.1;22.48;387100
W16x36;53.3;406.6;143.3;7.9;12.9;10;388;361;67.9;1.353;25.37;18270;898.7;1030;16.4;34.54;634.5;88.56;138.9;3;4.5;28.85;245100
W16x31;46.1;403;140;7;11.2;10;381;361;58.8;1.334;28.87;15550;772.1;883.9;16.25;30.52;513.6;73.37;114.9;2.9;4.1;19.16;196500
W16x26;38.8;399;140;6.4;8.8;10;381;361;49.5;1.328;33.89;12640;633.8;729.6;15.91;27.59;403.5;57.65;90.61;2.8;3.5;11.02;153100
W14x1000;1488;640;484;108;159.8;20;320;280;1890;2.965;1.991;955080;29840;39960;22.44;517.4;305440;12620;19670;12.6;45.1;138240;174070000
W14x930;1384;617;481;104.5;148.4;20;320;280;1760;2.914;2.102;839320;27200;36180;21.8;518.4;278390;11570;18060;12.5;42.4;113400;151090000
W14x873;1299;600;476;100;140;20;320;280;1650;2.869;2.206;754950;25160;33260;21.35;519.4;254410;10680;16670;12.3;40.3;95520;133120000
W14x808;1202;580;471;95;130;20;320;280;1530;2.819;2.343;663970;22890;30030;20.81;482.9;228760;9714;15150;12.2;37.8;77190;114600000
W14x730;1086;569;454;78;125;20;320;280;1390;2.763;2.537;596070;20950;27230;20.72;399.8;196270;8646;13380;11.8;35.1;61220;96070000
W14x665;990;550;448;71.9;115;20;320;280;1260;2.713;2.734;519260;18880;24300;20.26;362.2;173380;7740;11960;11.7;32.5;47490;81520000
W14x605;900;531;442;65.9;106;20;320;280;1150;2.663;2.948;450550;16970;21640;19.78;325.9;153360;6939;10710;11.5;30.1;36880;68880000
W14x550;818;514;437;60.5;97;20;320;280;1050;2.62;3.194;392540;15270;19270;19.38;294.5;135540;6203;9566;11.3;27.7;28210;58650000
W14x500;744;498;432;55.6;88.9;20;320;280;948;2.578;3.458;342470;13750;17180;18.99;266.5;119940;5553;8553;11.2;25.6;21660;49980000
W14x455;677;483;428;51.2;81.5;20;320;280;865;2.541;3.742;299820;12410;15360;18.61;241.6;106880;4994;7684;11.1;23.7;16680;42910000
W14x426;634;474;424;47.6;77.1;20;320;280;806;2.514;3.956;274520;11580;14240;18.41;223.2;98260;4635;7121;11;22.5;13960;38570000
W14x398;592;465;421;45;72.3;20;320;280;755;2.489;4.191;250510;10770;13160;18.19;209.1;90180;4284;6578;10.9;21.3;11520;34660000
W14x370;551;455;418;42;67.6;20;320;280;703;2.463;4.463;226460;9954;12070;17.94;193.2;82500;3947;6055;10.8;20;9395;30870000
W14x342;509;446;416;39.1;62.7;20;320;280;652;2.443;4.784;204880;9187;11050;17.74;178.4;75410;3625;5556;10.7;18.7;7513;27630000
W14x311;463;435;412;35.8;57.4;20;320;280;590;2.412;5.198;180510;8299;9900;17.47;161.6;67040;3254;4981;10.6;17.4;5746;23840000
W14x283;421;425;409;32.8;52.6;20;320;280;537;2.386;5.643;159930;7526;8903;17.23;146.6;60080;2938;4492;10.5;16.1;4416;20790000
W14x257;382;416;406;29.8;48;20;320;280;488;2.362;6.158;141670;6811;7987;17.02;132.3;53620;2641;4033;10.4;14.9;3348;18120000
W14x233;347;407;404;27.2;43.7;20;320;280;442;2.341;6.724;125300;6157;7161;16.8;119.7;48090;2380;3631;10.4;13.8;2532;15840000
W14x211;314;399;401;24.9;39.6;20;320;280;400;2.317;7.366;110580;5543;6397;16.61;108.8;42600;2125;3239;10.3;12.7;1891;13740000
W14x193;287;393;399;22.6;36.6;20;320;280;366;2.302;7.973;100060;5092;5835;16.49;98.62;38780;1944;2959;10.2;11.9;1484;12300000
W14x176;262;387;398;21.1;33.3;20;320;280;334;2.289;8.675;89760;4638;5282;16.34;91.38;35020;1759;2678;10.2;11.1;1133;10940000
W14x159;237;380;395;18.9;30.2;20;320;280;301;2.267;9.549;79130;4164;4708;16.17;81.63;31040;1571;2389;10.1;10.2;841.9;9489000
W14x145;216;375;394;17.3;27.7;20;320;280;275;2.257;10.37;71490;3813;4285;16.06;74.6;28250;1434;2178;10;9.6;652.1;8514000
W14x132;196;372;374;16.4;26.2;20;320;280;250;2.172;10.98;63980;3440;3860;15.93;70.62;22860;1222;1858;9.5;9.2;530.9;6828000
W14x120;179;368;373;15;23.9;20;320;280;228;2.163;11.99;57790;3141;3505;15.85;64.61;20680;1109;1684;9.4;8.6;406;6119000
W14x109;162;364;371;13.3;21.8;20;320;280;206;2.151;13.18;51890;2851;3162;15.8;57.67;18560;1000;1518;9.4;8;306.6;5431000
W14x99;147;360;370;12.3;19.8;20;320;280;188;2.141;14.4;46640;2591;2861;15.69;53.2;16720;904;1371;9.3;7.5;233.3;4836000
W14x90;134;356;369;11.2;18;20;320;280;171;2.131;15.77;41860;2352;2585;15.59;48.49;15080;817.3;1238;9.3;7;177.3;4305000
W14x82;122;363;257;13;21.7;15;320;290;155;1.702;13.98;36530;2012;2265;15.35;52.81;6147;478.3;732;6.2;7.3;210.6;1787000
W14x74;110;360;256;11.4;19.9;15;320;290;141;1.695;15.38;33090;1838;2055;15.35;46.67;5570;435.1;664.2;6.3;6.8;160.2;1609000
W14x68;101;357;255;10.5;18.3;15;320;290;129;1.687;16.67;30140;1688;1880;15.29;42.98;5061;397;605.4;6.2;6.4;125.3;1450000
W14x61;91;353;254;9.5;16.4;15;320;290;115;1.677;18.47;26690;1512;1675;15.19;38.83;4482;352.9;537.8;6.2;5.9;91.36;1268000
W14x53;79;354;205;9.4;16.8;15;320;290;101;1.483;18.71;22640;1279;1432;14.97;38.67;2415;235.6;361.6;4.8;6;81.14;685700
W14x48;72;350;204;8.6;15.1;15;320;290;91;1.473;20.61;20100;1148;1281;14.85;35.26;2139;209.7;321.5;4.8;5.6;60.09;599000
W14x43;64;347;203;7.7;13.5;15;320;290;81.3;1.464;22.91;17820;1027;1141;14.79;31.66;1884;185.6;284.2;4.8;5.2;43.64;523300
W14x38;58;358;172;7.9;13.1;10;332;312;72.3;1.371;24.21;16040;896.2;1008;14.91;30.73;1112;129.3;199.4;3.9;4.5;33.32;330300
W14x34;51;355;171;7.2;11.6;10;332;312;64.5;1.362;26.93;14120;795.5;893.3;14.8;27.9;968;113.2;174.3;3.8;4.2;23.71;284900
W14x30;44.6;352;171;6.9;9.8;10;332;312;57.1;1.357;30.16;12150;690.7;778.1;14.56;26.43;817.9;95.66;147.7;3.7;3.8;15.92;239000
W14x26;39;353;128;6.5;10.7;10;332;312;49.6;1.187;30.36;10230;579.6;661.5;14.33;25.25;375;58.59;91.62;2.7;3.9;15.01;109500
W14x22;32.9;349;127;5.8;8.5;10;332;312;41.9;1.177;35.95;8258;473.2;541.4;14.07;22.31;290.9;45.82;71.78;2.6;3.4;8.531;84110
W12x336;500;427;340;45.1;75.1;20;277.1;237.1;637;2.089;4.164;169080;7919;9895;16.26;127.9;49430;2907;4490;8.7;21.8;10280;15230000
W12x305;454;415;336;41.3;68.7;20;277.1;237.1;578;2.057;4.519;148200;7142;8835;15.98;128.9;43610;2596;4004;8.6;20.2;7857;13020000
W12x279;415;403;334;38.9;62.7;20;277.1;237.1;528;2.029;4.874;130180;6460;7922;15.66;129.9;39090;2340;3610;8.5;18.7;6066;11270000
W12x252;375;391;330;35.4;57.2;20;277.1;237.1;478;1.996;5.309;113040;5782;7023;15.36;130.9;34370;2083;3208;8.4;17.3;4583;9543000
W12x230;342;382;328;32.6;52.6;20;277.1;237.1;437;1.976;5.737;100770;5276;6353;15.15;131.9;31030;1892;2910;8.4;16.1;3570;8391000
W12x210;313;374;325;30;48.3;20;277.1;237.1;399;1.953;6.21;89820;4803;5735;14.97;120.5;27710;1705;2619;8.3;15;2763;7328000
W12x190;283;365;322;26.9;44.1;20;277.1;237.1;360;1.929;6.79;78940;4325;5118;14.76;107.4;24590;1527;2342;8.2;13.8;2085;6317000
W12x170;253;356;319;24.4;39.6;20;277.1;237.1;323;1.904;7.494;68480;3847;4510;14.54;96.48;21460;1345;2061;8.1;12.7;1516;5362000
W12x152;226;348;317;22.1;35.6;20;277.1;237.1;288;1.885;8.271;59820;3438;3994;14.35;86.71;18930;1194;1827;8;11.6;1108;4611000
W12x136;202;341;315;20.1;31.8;20;277.1;237.1;257;1.867;9.164;52240;3064;3530;14.18;78.3;16590;1053;1610;7.9;10.7;799.8;3959000
W12x120;179;333;313;18;28.1;20;277.1;237.1;228;1.847;10.26;44790;2690;3072;13.98;69.56;14380;918.9;1403;7.9;9.7;558.3;3337000
W12x106;158;327;310;15.5;25.1;20;277.1;237.1;201;1.828;11.53;38890;2379;2691;13.87;60.27;12470;804.9;1226;7.8;8.9;393.5;2839000
W12x96;143;323;309;14;22.9;20;277.1;237.1;182;1.819;12.6;35020;2168;2438;13.8;54.61;11270;729.5;1110;7.8;8.3;300.1;2535000
W12x87;129;318;308;13.1;20.6;20;277.1;237.1;165;1.807;13.81;31030;1951;2183;13.64;50.63;10040;652;992.7;7.7;7.7;224.4;2218000
W12x79;117;314;307;11.9;18.7;20;277.1;237.1;150;1.797;15.14;27770;1769;1968;13.55;46.05;9025;588;894.5;7.7;7.2;169.9;1965000
W12x72;107;311;306;10.9;17;20;277.1;237.1;136;1.789;16.55;25050;1611;1784;13.48;42.28;8125;531;807.5;7.6;6.8;129.8;1754000
W12x65;97;308;305;9.9;15.4;20;277.1;237.1;123;1.781;18.17;22500;1461;1610;13.42;38.56;7288;477.9;726.3;7.6;6.4;98.33;1558000
W12x58;86;310;254;9.1;16.3;15;277.1;247.1;110;1.592;18.44;19840;1280;1417;13.43;33.55;4454;350.7;533;6.3;5.9;87.42;960000
W12x53;79;306;254;8.8;14.6;15;277.1;247.1;101;1.584;20.08;17660;1154;1275;13.25;31.95;3990;314.2;477.8;6.3;5.5;65.53;846400
W12x50;74;310;205;9.4;16.3;15;277.1;247.1;94.8;1.395;18.73;16450;1061;1188;13.17;34.43;2343;228.6;350.1;4.9;5.9;74.27;504700
W12x45;67;306;204;8.5;14.6;15;277.1;247.1;85.2;1.385;20.75;14510;948.4;1056;13.06;31.08;2068;202.7;310.2;4.9;5.5;54.3;438500
W12x40;60;303;203;7.5;13.1;15;277.1;247.1;76.1;1.377;23.11;12860;848.8;940.6;13.01;27.6;1828;180.1;275.1;4.9;5.1;39.56;383700
W12x35;52;317;167;7.6;13.2;8;291.1;275.1;66.5;1.273;24.3;11840;747.4;838;13.32;25.75;1025;122.8;188.5;3.9;4.3;30.93;236400
W12x30;44.5;313;166;6.6;11.2;8;291.1;275.1;56.7;1.263;28.26;9933;634.7;708.3;13.21;22.26;854.7;102.9;157.7;3.8;3.8;19.24;194400
W12x26;38.7;310;165;5.8;9.7;8;291.1;275.1;49.4;1.254;32.32;8518;549.5;610.9;13.12;19.52;726.8;88.1;134.7;3.8;3.4;12.67;163700
W12x22;32.7;313;102;6.6;10.8;8;291.1;275.1;41.8;1.007;30.67;6507;415.7;480.9;12.47;22.22;191.8;37.62;59.63;2.1;3.7;12.27;43610
W12x19;28.3;309;102;6;8.9;8;291.1;275.1;35.9;1;35.21;5437;351.9;407.5;12.25;19.98;158;30.99;49.18;2;3.3;7.652;35440
W12x16;23.8;305;101;5.6;6.7;8;291.1;275.1;30.4;0.989;41.42;4282;280.8;328.8;11.86;18.33;115.6;22.89;36.71;1.9;2.8;4.303;25590
W12x14;21;303;101;5.1;5.7;8;291.1;275.1;26.8;0.986;46.63;3712;245;287.4;11.73;16.62;98.31;19.46;31.2;1.9;2.5;2.983;21620
W10x112;167;289;265;19.2;31.8;13;225;199;212;1.577;9.419;30020;2077;2427;11.86;17.62;9878;745.5;1139;6.8;9.8;632.1;1631000
W10x100;149;282;263;17.3;28.4;13;225;199;190;1.559;10.46;25930;1839;2129;11.68;52.71;8622;655.6;1000;6.7;8.9;451.9;1384000
W10x88;131;275;261;15.4;25.1;13;225;199;167;1.54;11.74;22150;1611;1847;11.51;46.46;7446;570.6;869.7;6.6;8;313.1;1161000
W10x77;115;269;259;13.5;22.1;13;225;199;146;1.524;13.27;18940;1408;1599;11.37;40.53;6405;494.6;752.8;6.6;7.2;213.8;975200
W10x68;101;264;257;11.9;19.6;13;225;199;129;1.509;14.9;16370;1240;1397;11.26;35.63;5549;431.8;656.5;6.5;6.6;149.1;828000
