Referencia;Peso(Kg/m);d(mm);bf(mm);tw(mm);tf(mm);r(mm);dint(mm);T(mm);A(cm2);Apint(m2/m); Amasa(m2/t);Ixx(cm4);Sx(cm3);Zx(cm3);rx(cm);Av(cm2);Iyy(cm4);Sy(cm3);Zy(cm3);ry(cm);Ss(cm);J(cm4);Cw(cm6)
UC203x203x52;52;206.2;204.3;7.9;12.5;10;181.2;161.2;66.3;1.197;23.02;5256;509.8;567;8.9;18.66;1777;174;264.2;5.1;4.4;31.66;166600
UC203x203x46;46.1;203.2;203.6;7.2;11;10;181.2;161.2;58.7;1.189;25.8;4565;449.3;497.1;8.8;16.89;1548;152;230.8;5.1;4;22.07;142800
UC152x152x51;51;170.2;157.4;11;15.7;8;138.8;122.8;65.2;0.934;18.24;3229;379.5;438.4;7;20.05;1022;129.8;199;3.9;5.1;49.08;60890
UC152x152x44;44;166;155.9;9.5;13.6;8;138.8;122.8;56.1;0.923;20.94;2705;325.9;372.5;6.9;17.2;860.1;110.3;168.7;3.9;4.6;31.88;49860
UC152x152x37;37;161.8;154.4;8;11.5;8;138.8;122.8;47.1;0.911;24.61;2212;273.5;309.1;6.8;14.41;706.2;91.48;139.6;3.8;4;19.3;39840
UC152x152x30;30;157.6;152.9;6.5;9.4;8;138.8;122.8;38.3;0.9;29.92;1750;222.1;248;6.7;11.68;560.4;73.31;111.6;3.8;3.4;10.6;30740
UC152x152x23;23;152.4;152.2;5.8;6.8;8;138.8;122.8;29.2;0.888;38.61;1252;164.3;182.3;6.5;10.08;399.9;52.55;80.18;3.6;2.8;4.693;21170
W1100x400x607;607;1138;410;31;55;30;1028;968;777.4;3.802;6.23;1624100;28540;33000;45.7;376.4;63470;3096;4886;9;17.6;5789;185250000
W1100x400x548;548;1128;407;28;50;30;1028;968;702.5;3.776;6.847;1456640;25820;29720;45.5;339.5;56400;2771;4358;8.9;16.3;4344;163220000
W1100x400x499;499;1118;405;26;45;30;1028;968;635;3.752;7.474;1305020;23340;26810;45.1;313.7;50000;2469;3879;8.8;15.1;3253;143400000
W1100x400x433;433;1108;402;22;40;30;1028;968;551;3.728;8.549;1136540;20510;23370;45.2;266.6;43420;2160;3370;8.8;13.7;2229;123500000
W1100x400x390;390;1100;400;20;36;30;1028;968;497;3.708;9.422;1016360;18470;20990;45;242.1;38490;1924;2995;8.7;12.7;1649;108680000
W1100x400x343;343;1090;400;18;31;30;1028;968;436;3.692;10.67;878350;16110;18270;44.6;216.9;33130;1656;2575;8.6;11.5;1104;92700000
W1000x400x976;976;1108;428;50;89.9;30;928.1;868.1;1243;3.776;3.875;2348680;42390;50290;43.4;570.7;118520;5538;8838;9.7;26.4;24410;304410000
W1000x400x883;883;1092;424;45.5;82;30;928.1;868.1;1125;3.737;4.23;2096410;38390;45260;43.1;516.4;104970;4951;7873;9.6;24.4;18510;265670000
W1000x400x748;748;1068;417;39;70;30;928.1;868.1;953;3.674;4.909;1731940;32430;37880;42.6;438.9;85110;4082;6459;9.4;21.4;11550;210640000
W1000x400x642;642;1048;412;34;60;30;928.1;868.1;818;3.624;5.646;1450580;27680;32090;42.1;379.6;70280;3411;5378;9.2;18.9;7381;170660000
W1000x400x591;591;1040;409;31;55.9;30;928.1;868.1;753;3.602;6.096;1331030;25590;29520;42;346.3;64010;3130;4915;9.2;17.7;5895;154320000
W1000x400x554;554;1032;408;29.5;52;30;928.1;868.1;706;3.585;6.47;1232370;23880;27490;41.7;328;59090;2896;4546;9.1;16.8;4834;141320000
W1000x400x539;539;1030;407;28.4;51.1;30;928.1;868.1;687;3.58;6.637;1202530;23350;26820;41.8;316.3;57630;2832;4435;9.1;16.5;4529;137550000
W1000x400x483;483;1020;404;25.4;46;30;928.1;868.1;615;3.554;7.36;1067480;20930;23920;41.6;282.7;50710;2510;3918;9;15.2;3306;119890000
W1000x400x443;443;1012;402;23.6;41.9;30;928.1;868.1;564;3.533;7.985;966510;19100;21770;41.4;261.8;45490;2263;3529;8.9;14.2;2543;106730000
W1000x400x412;412;1008;402;21.1;40;30;928.1;868.1;525;3.53;8.563;910470;18060;20460;41.6;235.9;43400;2159;3348;9;13.6;2144;101450000
W1000x400x371;371;1000;400;19;36.1;30;928.1;868.1;473;3.51;9.457;813730;16270;18360;41.4;212.5;38580;1929;2984;9;12.6;1588;89440000
W1000x400x321;321;990;400;16.5;31;30;928.1;868.1;408;3.495;10.89;696440;14060;15790;41.2;184.5;33120;1656;2554;9;11.3;1033;76020000
W1000x400x296;296;982;400;16.5;27.1;30;928.1;868.1;377;3.479;11.74;620310;12630;14250;40.5;181.5;28960;1448;2242;8.7;10.5;763.6;65890000
W1000x300x584;584;1056;314;36;64;30;928.1;868.1;744;3.244;5.556;1246070;23590;28030;40.9;403.2;33430;2129;3474;6.7;19.9;7153;81240000
W1000x300x494;494;1036;309;31;54;30;928.1;868.1;629;3.194;6.467;1027950;19840;23410;40.4;344.5;26820;1736;2818;6.5;17.4;4395;64010000
W1000x300x486;486;1036;308;30;54.1;30;928.1;868.1;619.3;3.192;6.566;1019880;19680;23170;40.5;334.7;26590;1726;2791;6.5;17.3;4293;63490000
W1000x300x438;438;1026;305;26.9;49;30;928.1;868.1;556;3.167;7.253;909170;17720;20740;40.4;299.9;23350;1531;2462;6.4;16;3181;55290000
W1000x300x415;415;1020;304;26;46;30;928.1;868.1;528;3.152;7.595;853120;16720;19570;40.1;288.5;21700;1428;2297;6.4;15.3;2703;51080000
W1000x300x393;393;1016;303;24.4;43.9;30;928.1;868.1;501;3.144;8.006;807680;15890;18530;40.1;271.2;20490;1352;2167;6.4;14.7;2329;48080000
W1000x300x350;350;1008;302;21.1;40;30;928.1;868.1;446;3.13;8.957;722960;14340;16580;40.3;235.9;18460;1222;1940;6.4;13.6;1718;43010000
W1000x300x314;314;1000;300;19.1;35.9;30;928.1;868.1;400;3.11;9.894;644210;12880;14850;40.1;213.4;16230;1082;1712;6.3;12.6;1263;37530000
W1000x300x272;272;990;300;16.5;31;30;928.1;868.1;346;3.095;11.37;553840;11180;12820;39.9;184.5;14000;933.6;1469;6.3;11.3;834.8;32070000
